emp_no,first_name,last_name,title,from_date,to_date
76003,Serif,Schach,Engineer,12/29/1994,12/28/2000
76003,Serif,Schach,Senior Engineer,12/28/2000,1/1/9999
76006,Filipp,Vakili,Engineer,4/16/1985,4/16/1991
76006,Filipp,Vakili,Senior Engineer,4/16/1991,1/1/9999
76009,Ekawit,Angel,Technique Leader,12/4/1997,1/1/9999
76011,Zhigen,Schauser,Senior Staff,10/5/1999,5/18/2001
76011,Zhigen,Schauser,Staff,10/5/1991,10/5/1999
76012,Barton,Hofting,Engineer,6/15/1989,6/15/1995
76012,Barton,Hofting,Senior Engineer,6/15/1995,1/1/9999
76018,Leon,Honglei,Senior Staff,8/20/1999,1/1/9999
76018,Leon,Honglei,Staff,8/20/1993,8/20/1999
76019,Heping,Bade,Senior Staff,4/2/1998,1/1/9999
76019,Heping,Bade,Staff,4/2/1991,4/2/1998
76020,Cristinel,Puoti,Engineer,11/20/1989,9/29/1996
76021,Khaled,Binding,Engineer,10/6/1990,10/6/1998
76021,Khaled,Binding,Senior Engineer,10/6/1998,1/1/9999
76022,Xuejia,Hanabata,Assistant Engineer,6/26/1987,6/25/1993
76022,Xuejia,Hanabata,Engineer,6/25/1993,6/25/1999
76022,Xuejia,Hanabata,Senior Engineer,6/25/1999,1/1/9999
76030,TRUE,Jakobus,Senior Staff,6/29/2000,1/1/9999
76030,TRUE,Jakobus,Staff,6/30/1991,6/29/2000
76036,Sreenivas,Schach,Assistant Engineer,5/22/1991,7/17/1993
76040,Constantino,Kaltofen,Engineer,10/15/1999,1/1/9999
76043,Vishu,Roison,Senior Staff,7/12/1994,1/1/9999
76043,Vishu,Roison,Staff,7/12/1989,7/12/1994
76044,Roselyn,Heusch,Technique Leader,3/5/1991,11/9/1992
76047,Hatem,Anido,Senior Engineer,2/20/1989,11/22/1989
76050,Perry,Pramanik,Engineer,1/27/1988,1/27/1995
76050,Perry,Pramanik,Senior Engineer,1/27/1995,1/1/9999
76051,Dulce,Wynblatt,Engineer,8/8/1992,8/8/2000
76051,Dulce,Wynblatt,Senior Engineer,8/8/2000,1/1/9999
76064,Vesna,Panwar,Staff,5/22/1991,2/17/1997
76066,Hausi,Besselaar,Assistant Engineer,7/11/1993,7/11/1999
76066,Hausi,Besselaar,Engineer,7/11/1999,1/1/9999
76077,Yunming,McAlpine,Senior Staff,2/13/1997,1/1/9999
76078,Hausi,Poehlman,Senior Staff,3/5/1996,1/1/9999
76078,Hausi,Poehlman,Staff,3/5/1988,3/5/1996
76083,Uzi,Kusalik,Engineer,7/3/1994,3/17/1999
76085,Christfried,Bratsberg,Technique Leader,1/29/1993,1/1/9999
76091,Mamdouh,Rosenbaum,Senior Staff,2/12/1998,1/1/9999
76092,Manohar,Sevcikova,Senior Staff,7/21/1993,1/1/9999
76092,Manohar,Sevcikova,Staff,7/21/1986,7/21/1993
76104,TRUE,Garrabrants,Staff,9/12/1994,1/1/9999
76110,Cheong,Karner,Staff,3/23/1995,1/1/9999
76112,Candido,Majewski,Staff,3/27/1995,1/23/1997
76114,Goncalo,Bugrara,Engineer,6/9/1999,2/8/2002
76117,Zito,Sudbeck,Assistant Engineer,3/16/1994,3/24/1999
76119,Angus,Rahimi,Engineer,3/3/1999,1/1/9999
76121,Ioana,Vakili,Engineer,11/10/1986,11/10/1993
76121,Ioana,Vakili,Senior Engineer,11/10/1993,1/1/9999
76123,Ymte,Adachi,Senior Staff,11/25/1993,12/16/1996
76123,Ymte,Adachi,Staff,11/25/1985,11/25/1993
76128,Zeydy,Eugenio,Senior Staff,2/14/2000,1/1/9999
76128,Zeydy,Eugenio,Staff,2/14/1995,2/14/2000
76136,Sakthirel,Rando,Staff,5/11/1998,1/1/9999
76137,Utz,Llado,Senior Staff,7/25/1992,1/1/9999
76137,Utz,Llado,Staff,7/26/1987,7/25/1992
76139,Mark,Speer,Senior Staff,7/31/1995,1/1/9999
76139,Mark,Speer,Staff,7/30/1988,7/31/1995
76142,Nikolaos,Ambroszkiewicz,Senior Staff,7/20/1995,1/1/9999
76143,Perla,Cappelletti,Senior Staff,8/8/1994,1/1/9999
76143,Perla,Cappelletti,Staff,8/8/1987,8/8/1994
76144,Khue,Clemencon,Technique Leader,10/31/1988,1/1/9999
76145,Mitsuyuki,Byoun,Technique Leader,10/19/1986,1/1/9999
76151,Manton,Marakhovsky,Engineer,8/30/1992,8/30/2001
76151,Manton,Marakhovsky,Senior Engineer,8/30/2001,1/1/9999
76158,Florian,Lubachevsky,Engineer,2/12/1989,2/12/1994
76158,Florian,Lubachevsky,Senior Engineer,2/12/1994,1/1/9999
76159,Almudena,Molenaar,Engineer,12/11/1997,1/1/9999
76171,Manu,Peek,Staff,1/16/1995,1/1/9999
76172,Premsyl,Delgrossi,Engineer,8/10/1991,8/9/1997
76172,Premsyl,Delgrossi,Senior Engineer,8/9/1997,1/1/9999
76173,Heeju,Henseler,Assistant Engineer,2/20/1985,2/20/1993
76173,Heeju,Henseler,Engineer,2/20/1993,7/14/2000
76177,Kerryn,Sommen,Technique Leader,8/28/1993,1/1/9999
76191,Arno,Montemayor,Assistant Engineer,12/27/1994,12/20/1999
76193,Zhonghua,Motley,Senior Staff,8/3/1998,1/1/9999
76193,Zhonghua,Motley,Staff,8/3/1993,8/3/1998
76195,Theirry,Honglei,Senior Staff,9/1/1986,9/2/1987
76198,Toshiki,Waeselynck,Engineer,6/1/1986,6/1/1993
76198,Toshiki,Waeselynck,Senior Engineer,6/1/1993,1/1/9999
76202,Kousuke,Kampfer,Engineer,5/16/1993,5/16/1999
76202,Kousuke,Kampfer,Senior Engineer,5/16/1999,1/1/9999
76211,Kenton,Hashii,Senior Staff,9/13/1996,1/1/9999
76211,Kenton,Hashii,Staff,9/14/1991,9/13/1996
76212,Naftali,Thorensen,Staff,11/14/1986,10/17/1987
76213,Naftaly,Schnelling,Senior Engineer,1/12/1997,1/1/9999
76216,Fusako,Welham,Engineer,4/9/1989,4/9/1994
76216,Fusako,Welham,Senior Engineer,4/9/1994,1/1/9999
76217,Ranan,Hiroyama,Staff,12/14/1998,1/1/9999
76220,Jacopo,Munos,Engineer,2/25/1994,2/25/1999
76220,Jacopo,Munos,Senior Engineer,2/25/1999,1/1/9999
76223,Huai,Schlenzig,Senior Staff,9/1/1990,1/1/9999
76225,Dinkar,Zumaque,Senior Staff,4/5/2001,1/1/9999
76225,Dinkar,Zumaque,Staff,4/5/1996,4/5/2001
76226,Holgard,McFarlan,Assistant Engineer,9/13/1994,3/17/1996
76232,Georg,Hedayat,Staff,9/23/1988,10/19/1988
76234,Takahito,Lovengreen,Engineer,4/6/1987,4/4/1992
76234,Takahito,Lovengreen,Senior Engineer,4/4/1992,1/1/9999
76237,Radoslaw,Thummel,Senior Staff,5/11/2002,1/1/9999
76237,Radoslaw,Thummel,Staff,5/11/1993,5/11/2002
76238,Gay,Dusink,Engineer,10/31/1996,10/31/2001
76238,Gay,Dusink,Senior Engineer,10/31/2001,1/1/9999
76239,Nectarios,Baca,Assistant Engineer,7/14/1986,7/14/1995
76239,Nectarios,Baca,Engineer,7/14/1995,1/1/9999
76245,Luigi,Lipner,Engineer,3/14/1995,1/1/9999
76246,Guther,Stamatiou,Senior Engineer,2/14/1988,10/5/1996
76247,Mads,Azuma,Senior Staff,10/3/1994,1/1/9999
76247,Mads,Azuma,Staff,10/3/1988,10/3/1994
76250,Fumiyo,Linnainmaa,Assistant Engineer,3/7/1991,3/6/2000
76250,Fumiyo,Linnainmaa,Engineer,3/6/2000,1/1/9999
76251,Constantine,Reinhart,Senior Staff,5/5/2001,1/1/9999
76251,Constantine,Reinhart,Staff,5/6/1995,5/5/2001
76252,Marco,Khamsi,Senior Staff,5/20/1992,1/1/9999
76252,Marco,Khamsi,Staff,5/21/1987,5/20/1992
76253,Shaz,Jeansoulin,Engineer,11/12/1992,11/12/2000
76253,Shaz,Jeansoulin,Senior Engineer,11/12/2000,1/1/9999
76254,Sanjay,Copas,Assistant Engineer,1/5/1999,1/1/9999
76260,Zejun,Baig,Engineer,9/12/1994,9/12/2001
76260,Zejun,Baig,Senior Engineer,9/12/2001,1/1/9999
76265,Doowon,Stavenow,Assistant Engineer,10/17/1987,10/16/1993
76265,Doowon,Stavenow,Engineer,10/16/1993,10/16/1999
76265,Doowon,Stavenow,Senior Engineer,10/16/1999,1/1/9999
76267,Radhakrishnan,Condotta,Senior Engineer,9/22/1997,4/12/1999
76268,Aamer,Lorcy,Senior Staff,2/13/2001,1/1/9999
76268,Aamer,Lorcy,Staff,2/14/1995,2/13/2001
76275,Abdelghani,Serov,Staff,12/16/1998,1/1/9999
76277,Yuqun,Schieder,Senior Staff,6/30/1992,1/1/9999
76277,Yuqun,Schieder,Staff,7/1/1987,6/30/1992
76278,Oldrich,Heiserman,Engineer,3/17/1987,3/16/1996
76278,Oldrich,Heiserman,Senior Engineer,3/16/1996,1/1/9999
76282,Yongqiao,Roccetti,Senior Staff,8/19/1999,1/1/9999
76282,Yongqiao,Roccetti,Staff,8/19/1991,8/19/1999
76285,Guozhong,Bael,Senior Staff,2/22/1997,1/1/9999
76285,Guozhong,Bael,Staff,2/23/1991,2/22/1997
76288,Domenick,Schmiedel,Senior Staff,4/19/1993,6/18/1994
76289,Chaitali,Kulisch,Senior Staff,9/14/1995,1/1/9999
76289,Chaitali,Kulisch,Staff,9/14/1990,9/14/1995
76290,Shushma,Shumilov,Staff,9/6/1995,1/1/9999
76291,Joydip,Molenaar,Engineer,7/26/1998,1/1/9999
76292,Vasiliy,Spelt,Engineer,11/4/1999,12/13/2001
76293,Nagui,Reinhart,Engineer,4/3/1985,4/3/1993
76293,Nagui,Reinhart,Senior Engineer,4/3/1993,1/1/9999
76300,Ranga,Luan,Senior Staff,8/2/2000,1/1/9999
76300,Ranga,Luan,Staff,8/3/1995,8/2/2000
76301,Jagoda,Brodal,Staff,6/2/1990,9/25/1993
76305,Boriana,Henseler,Senior Staff,1/24/2001,1/1/9999
76305,Boriana,Henseler,Staff,1/25/1992,1/24/2001
76311,Herb,Schmezko,Staff,6/26/1995,1/1/9999
76315,Manibrata,Matzke,Senior Staff,7/30/1995,1/1/9999
76315,Manibrata,Matzke,Staff,7/30/1990,7/30/1995
76316,Radhika,Erbe,Engineer,1/26/1996,1/25/2001
76316,Radhika,Erbe,Senior Engineer,1/25/2001,1/1/9999
76320,Mang,Merks,Technique Leader,7/27/1999,11/10/1999
76322,Sanjoy,Pepe,Senior Staff,9/6/1995,1/1/9999
76322,Sanjoy,Pepe,Staff,9/6/1986,9/6/1995
76325,Rosalie,Maierhofer,Staff,3/21/1999,1/1/9999
76330,Moss,Pesch,Senior Engineer,8/4/1989,1/1/9999
76331,Jaroslava,Delgrange,Staff,8/25/1999,1/1/9999
76337,Youjian,Cappello,Senior Engineer,3/30/1997,10/18/2001
76339,Aloys,Ohori,Assistant Engineer,1/13/1996,1/1/9999
76340,Tonia,Kalefeld,Staff,3/1/1998,1/1/9999
76346,Zhanqiu,Molenaar,Staff,9/1/1999,1/1/9999
76348,Murthy,Duclos,Technique Leader,9/18/1994,1/1/9999
76350,Oscar,Unno,Engineer,2/7/1987,8/9/1992
76355,Bernice,Munch,Technique Leader,12/20/1994,1/1/9999
76358,Jordanka,Chinal,Engineer,6/3/1985,6/3/1994
76358,Jordanka,Chinal,Senior Engineer,6/3/1994,1/1/9999
76360,Uriel,Beetstra,Engineer,1/13/1991,1/12/1997
76360,Uriel,Beetstra,Senior Engineer,1/12/1997,1/1/9999
76363,Jenwei,Larfeldt,Assistant Engineer,12/14/1993,12/14/1999
76363,Jenwei,Larfeldt,Engineer,12/14/1999,1/1/9999
76368,Pramod,Antonakopoulos,Staff,6/8/1986,12/10/1991
76373,Duangkaew,Tsunoo,Senior Staff,6/23/1997,1/1/9999
76373,Duangkaew,Tsunoo,Staff,6/23/1989,6/23/1997
76374,Giao,Brookman,Engineer,5/5/1997,1/1/9999
76375,Yunming,Luders,Engineer,8/29/1994,1/1/9999
76376,Zvonko,Schauser,Staff,1/2/1996,1/1/9999
76384,Martins,Figueira,Technique Leader,12/26/1989,1/1/9999
76385,Jaewon,Schlumberger,Senior Engineer,5/9/1996,12/15/1997
76387,Nikolaus,Simkin,Engineer,1/28/1990,1/28/1996
76387,Nikolaus,Simkin,Senior Engineer,1/28/1996,1/1/9999
76388,Hidekazu,Azadmanesh,Engineer,1/15/2000,1/1/9999
76391,Parviz,Perez,Technique Leader,12/5/1994,1/1/9999
76393,Golgen,Sundgren,Staff,6/5/1993,6/15/1993
76396,Khun,Kakkad,Senior Staff,4/15/1995,1/1/9999
76396,Khun,Kakkad,Staff,4/14/1988,4/15/1995
76398,Younwoo,Heijenga,Senior Staff,1/31/2000,1/1/9999
76401,Mingzeng,Debuse,Staff,10/30/1997,9/19/2001
76402,Toshimi,Emmart,Senior Engineer,11/25/1991,1/8/1995
76407,Elliott,Aloia,Staff,10/29/1999,1/1/9999
76408,JiYoung,Ananiadou,Engineer,1/11/1988,1/10/1993
76408,JiYoung,Ananiadou,Senior Engineer,1/10/1993,1/1/9999
76410,Kasidit,Leivant,Senior Engineer,2/16/1993,1/1/9999
76420,Huai,Erva,Staff,8/28/1999,1/1/9999
76425,Kshitij,Hockney,Engineer,11/21/1987,11/20/1996
76425,Kshitij,Hockney,Senior Engineer,11/20/1996,1/1/9999
76427,Dhritiman,Conte,Senior Staff,1/26/1988,1/1/9999
76429,Honesty,Kleiser,Staff,5/4/1997,1/1/9999
76431,Poorav,Seiwald,Engineer,11/21/1994,11/21/2001
76431,Poorav,Seiwald,Senior Engineer,11/21/2001,1/1/9999
76435,Weidon,Mapelli,Senior Engineer,4/23/1992,1/1/9999
76436,Frazer,Stenning,Engineer,12/30/1999,1/1/9999
76443,Ute,Arlazarov,Senior Staff,5/4/1990,1/1/9999
76443,Ute,Arlazarov,Staff,5/4/1985,5/4/1990
76444,Geoff,Validov,Senior Engineer,10/12/1987,1/1/9999
76448,Sastry,Pfau,Senior Staff,7/5/2000,1/1/9999
76448,Sastry,Pfau,Staff,7/5/1993,7/5/2000
76450,Sanjay,Rahimi,Engineer,1/12/1994,5/29/2001
76455,Jolita,Redmiles,Senior Staff,1/29/1992,1/1/9999
76455,Jolita,Redmiles,Staff,1/29/1987,1/29/1992
76457,Zongyan,Alpin,Technique Leader,12/27/1995,1/1/9999
76465,Jessie,Smailagic,Senior Engineer,10/4/1991,1/1/9999
76467,Amabile,Schwartzbauer,Senior Engineer,9/14/1988,1/16/1997
76475,Theirry,Aamodt,Engineer,9/6/1999,10/31/2000
76476,Brendon,Marzano,Senior Engineer,4/2/1995,11/25/2000
76477,Fumitake,Callaway,Engineer,5/22/1990,5/22/1995
76477,Fumitake,Callaway,Senior Engineer,5/22/1995,1/1/9999
76478,Denis,Lichtner,Engineer,1/31/1992,1/30/1997
76478,Denis,Lichtner,Senior Engineer,1/30/1997,1/1/9999
76481,Suvo,Ruemmler,Engineer,11/5/1992,6/30/1993
76484,Leucio,Raoux,Senior Staff,1/15/1996,1/1/9999
76484,Leucio,Raoux,Staff,1/15/1988,1/15/1996
76488,Baruch,Sridhar,Technique Leader,6/19/1988,1/1/9999
76489,Atreyi,Hoogerwoord,Engineer,8/24/1990,8/23/1996
76489,Atreyi,Hoogerwoord,Senior Engineer,8/23/1996,1/1/9999
76493,Mansur,Oxman,Senior Staff,6/2/2000,1/1/9999
76493,Mansur,Oxman,Staff,6/2/1992,6/2/2000
76494,Sverrir,Pulkowski,Engineer,12/26/1992,12/26/2000
76494,Sverrir,Pulkowski,Senior Engineer,12/26/2000,1/1/9999
76495,Zhonghua,Cangellaris,Senior Staff,3/16/1992,9/29/1995
76495,Zhonghua,Cangellaris,Staff,3/17/1987,3/16/1992
76496,Remmert,Basart,Senior Staff,5/31/1999,1/1/9999
76496,Remmert,Basart,Staff,5/31/1994,5/31/1999
76498,Carrsten,Deyuan,Technique Leader,5/10/1989,1/1/9999
76501,Feixiong,Leslie,Technique Leader,12/24/1991,1/1/9999
76504,Gou,Marwedel,Assistant Engineer,12/5/1999,10/17/2001
76505,Venkatesan,Kieras,Engineer,2/22/1995,1/1/9999
76510,Barry,Fiebach,Senior Staff,6/25/1989,1/1/9999
76512,Arne,Delgrossi,Senior Staff,2/6/1998,1/1/9999
76512,Arne,Delgrossi,Staff,2/6/1993,2/6/1998
76516,Arnd,Kroll,Senior Staff,6/29/1998,1/1/9999
76516,Arnd,Kroll,Staff,6/29/1989,6/29/1998
76521,Uinam,Fritzsche,Engineer,8/24/1999,1/1/9999
76523,Muneo,Matheson,Engineer,11/19/1994,1/1/9999
76530,Honesty,Benner,Engineer,9/9/1988,9/9/1996
76530,Honesty,Benner,Senior Engineer,9/9/1996,1/1/9999
76531,Bodo,Hebden,Senior Staff,3/5/1996,1/1/9999
76531,Bodo,Hebden,Staff,3/6/1990,3/5/1996
76536,Mikhail,Daescu,Senior Engineer,10/31/1989,1/1/9999
76539,Cordelia,Monarch,Engineer,2/5/1987,2/4/1993
76539,Cordelia,Monarch,Senior Engineer,2/4/1993,1/1/9999
76541,Nigel,Bharadwaj,Senior Staff,3/3/1993,1/1/9999
76541,Nigel,Bharadwaj,Staff,3/4/1987,3/3/1993
76542,Mrinalini,Erie,Engineer,8/21/1991,3/20/1994
76543,Reinhold,Miculan,Senior Staff,11/14/1993,1/1/9999
76543,Reinhold,Miculan,Staff,11/14/1986,11/14/1993
76545,Roddy,Neimat,Senior Engineer,11/27/1997,11/9/2001
76549,Goetz,Narwekar,Senior Staff,4/21/1986,1/1/9999
76555,Jayesh,Passafiume,Senior Engineer,2/22/1999,1/1/9999
76559,Guiseppe,Segond,Engineer,3/8/1986,3/8/1995
76559,Guiseppe,Segond,Senior Engineer,3/8/1995,2/26/1998
76561,Alagu,Hofstetter,Staff,11/13/1996,1/1/9999
76562,Renee,Basart,Senior Staff,10/30/1995,1/1/9999
76562,Renee,Basart,Staff,10/30/1986,10/30/1995
76563,Demin,Couchot,Engineer,4/5/1998,10/8/2001
76565,Teunis,Manders,Staff,11/1/1985,1/6/1990
76566,Tsvetan,Pettit,Staff,6/2/1991,6/16/1993
76577,Horward,Zyda,Senior Staff,2/20/2000,1/1/9999
76577,Horward,Zyda,Staff,2/19/1993,2/20/2000
76580,Berto,Sinicrope,Engineer,9/14/1987,9/13/1996
76580,Berto,Sinicrope,Senior Engineer,9/13/1996,3/18/2001
76581,Munehiro,Thisen,Senior Staff,8/2/1999,1/1/9999
76581,Munehiro,Thisen,Staff,8/2/1994,8/2/1999
76583,Christoph,Mahnke,Staff,10/16/1993,3/7/1999
76586,Karlis,Schurmann,Engineer,7/7/1987,7/7/1995
76586,Karlis,Schurmann,Senior Engineer,7/7/1995,1/1/9999
76587,Jiakeng,Biros,Senior Engineer,4/4/1995,1/1/9999
76590,Mats,Bazelow,Senior Staff,8/30/1994,1/1/9999
76590,Mats,Bazelow,Staff,8/30/1987,8/30/1994
76591,Cordelia,Mikschl,Senior Staff,9/28/1995,1/1/9999
76591,Cordelia,Mikschl,Staff,9/28/1989,9/28/1995
76605,Randy,Slobodova,Senior Staff,11/30/1991,1/1/9999
76607,Temple,Geffroy,Engineer,10/24/1997,5/26/1998
76609,Boguslaw,Swick,Staff,12/29/1998,1/1/9999
76612,Lakshmi,Krohn,Engineer,1/30/1991,1/30/1999
76612,Lakshmi,Krohn,Senior Engineer,1/30/1999,9/29/1999
76629,Xuejun,Conde,Staff,9/29/1999,1/1/9999
76632,Froduald,Szmurlo,Engineer,12/26/1991,12/25/2000
76632,Froduald,Szmurlo,Senior Engineer,12/25/2000,1/1/9999
76634,Utz,McClure,Staff,5/15/1996,1/1/9999
76636,Xiaoshan,Gomatam,Senior Staff,12/3/1998,1/1/9999
76636,Xiaoshan,Gomatam,Staff,12/3/1993,12/3/1998
76642,Hein,Goldhammer,Engineer,12/5/1985,12/5/1990
76642,Hein,Goldhammer,Senior Engineer,12/5/1990,1/1/9999
76644,Huei,Junet,Engineer,12/11/1998,1/1/9999
76648,Rajmohan,Camarinopoulos,Assistant Engineer,1/29/1990,1/29/1997
76648,Rajmohan,Camarinopoulos,Engineer,1/29/1997,1/1/9999
76654,Shunichi,Niizuma,Senior Engineer,1/18/1991,1/1/9999
76664,Felicidad,Rosenbaum,Senior Staff,4/15/2002,1/1/9999
76664,Felicidad,Rosenbaum,Staff,4/15/1997,4/15/2002
76667,Luisa,Puppe,Senior Staff,7/5/1997,1/1/9999
76667,Luisa,Puppe,Staff,7/5/1988,7/5/1997
76670,Oscar,Levasseur,Senior Staff,10/1/2000,1/1/9999
76670,Oscar,Levasseur,Staff,10/2/1991,10/1/2000
76672,Remko,Peris,Engineer,12/7/1988,12/7/1993
76672,Remko,Peris,Senior Engineer,12/7/1993,1/1/9999
76673,Cathie,Rando,Engineer,2/18/1988,2/17/1997
76673,Cathie,Rando,Senior Engineer,2/17/1997,1/1/9999
76674,Hitomi,Nourani,Senior Staff,1/29/2002,1/1/9999
76674,Hitomi,Nourani,Staff,1/29/1995,1/29/2002
76675,Kazuyasu,Chinen,Staff,9/8/1989,4/28/1990
76679,Moie,Rullman,Engineer,10/9/1995,1/1/9999
76680,Uriel,Collette,Senior Staff,1/7/1998,1/1/9999
76680,Uriel,Collette,Staff,1/7/1989,1/7/1998
76682,Pohua,Ozeri,Senior Engineer,10/25/1997,1/1/9999
76687,Heeju,Siochi,Senior Engineer,1/7/1987,1/1/9999
76689,Mansur,Steinauer,Engineer,6/15/1993,6/15/2001
76689,Mansur,Steinauer,Senior Engineer,6/15/2001,1/1/9999
76690,Shaowen,Danley,Engineer,1/12/1987,1/12/1994
76690,Shaowen,Danley,Senior Engineer,1/12/1994,1/1/9999
76692,Sumant,Coorg,Engineer,11/7/1992,11/7/1999
76696,Saniya,Steenbeek,Staff,2/27/1998,1/1/9999
76703,Hairong,Huttel,Engineer,1/8/1992,1/8/1999
76703,Hairong,Huttel,Senior Engineer,1/8/1999,1/1/9999
76704,Valery,Shackel,Engineer,9/10/1988,9/10/1993
76704,Valery,Shackel,Senior Engineer,9/10/1993,1/1/9999
76705,Alair,Suermann,Senior Staff,7/20/2000,1/1/9999
76705,Alair,Suermann,Staff,7/21/1994,7/20/2000
76709,Berto,Georg,Engineer,7/11/1988,7/11/1996
76709,Berto,Georg,Senior Engineer,7/11/1996,1/1/9999
76717,Jamaludin,Kitai,Staff,8/24/1993,1/1/9999
76719,Filipp,Smeets,Engineer,2/1/1986,8/2/1994
76721,Kendra,Kamble,Senior Staff,6/27/1999,1/1/9999
76721,Kendra,Kamble,Staff,6/27/1994,6/27/1999
76722,Kristina,Yavatkar,Senior Staff,8/14/1997,1/1/9999
76722,Kristina,Yavatkar,Staff,8/14/1990,8/14/1997
76724,Gino,Lueh,Senior Staff,5/24/1996,1/1/9999
76724,Gino,Lueh,Staff,5/25/1987,5/24/1996
76725,Dipankar,Swen,Engineer,5/17/1990,5/17/1995
76725,Dipankar,Swen,Senior Engineer,5/17/1995,6/23/1998
76727,Valeri,Dusink,Engineer,4/28/1988,4/28/1994
76727,Valeri,Dusink,Senior Engineer,4/28/1994,1/1/9999
76730,Yucai,Lamma,Engineer,1/2/1989,1/2/1998
76730,Yucai,Lamma,Senior Engineer,1/2/1998,1/1/9999
76735,Hidekazu,Bashian,Senior Staff,5/9/1990,1/1/9999
76737,Ewing,Zschoche,Senior Staff,9/16/1998,1/1/9999
76737,Ewing,Zschoche,Staff,9/16/1990,9/16/1998
76739,Xinyu,Ravishankar,Senior Engineer,9/21/1995,1/1/9999
76743,Mechthild,Simmel,Senior Staff,10/21/1997,1/1/9999
76743,Mechthild,Simmel,Staff,10/21/1988,10/21/1997
76745,Mana,Ranai,Staff,1/1/1991,1/27/1991
76749,Luise,Raoux,Staff,8/1/1994,1/1/9999
76750,Tomoyuki,Eastman,Technique Leader,7/27/1994,1/1/9999
76751,Koldo,Guardalben,Engineer,5/12/1995,5/11/2001
76751,Koldo,Guardalben,Senior Engineer,5/11/2001,1/1/9999
76754,Sanjay,Roison,Engineer,11/22/1987,11/22/1994
76754,Sanjay,Roison,Senior Engineer,11/22/1994,1/1/9999
76755,Masamitsu,Chimia,Senior Staff,6/5/1985,9/6/1992
76757,Marsal,Halloran,Senior Staff,11/22/1999,1/1/9999
76757,Marsal,Halloran,Staff,11/22/1991,11/22/1999
76759,Zvonko,Hammerschmidt,Staff,2/16/1999,1/1/9999
76760,Adib,Bale,Assistant Engineer,2/4/1993,2/4/2002
76760,Adib,Bale,Engineer,2/4/2002,1/1/9999
76761,Raimond,Aloia,Senior Staff,2/14/1994,1/1/9999
76761,Raimond,Aloia,Staff,2/14/1987,2/14/1994
76763,Alejandra,Menyhert,Engineer,8/18/1991,8/17/1997
76763,Alejandra,Menyhert,Senior Engineer,8/17/1997,1/1/9999
76764,Shuzo,Gien,Engineer,10/28/1988,10/27/1996
76764,Shuzo,Gien,Senior Engineer,10/27/1996,1/1/9999
76766,Sariel,Maierhofer,Senior Staff,8/27/1987,1/1/9999
76767,Weiru,Chachaty,Staff,5/29/1991,9/30/1998
76772,Gao,Garigliano,Senior Engineer,3/7/1991,1/1/9999
76773,Baruch,Wallrath,Assistant Engineer,6/4/1996,7/2/1997
76774,Zsolt,Montemayor,Staff,3/10/1998,1/1/9999
76775,Arfst,Pietrzykowski,Engineer,4/25/1988,4/25/1996
76775,Arfst,Pietrzykowski,Senior Engineer,4/25/1996,1/1/9999
76779,Branimir,Reeker,Senior Staff,3/5/1998,1/1/9999
76779,Branimir,Reeker,Staff,3/5/1990,3/5/1998
76780,Vivian,Khamsi,Senior Engineer,4/28/1999,4/20/2002
76786,Tomofumi,Karlin,Engineer,7/8/1987,7/8/1994
76786,Tomofumi,Karlin,Senior Engineer,7/8/1994,1/1/9999
76788,Shigeu,Conia,Assistant Engineer,1/29/1986,6/3/1993
76795,Subhankar,Tetzlaff,Staff,8/6/1997,2/21/1998
76798,Tuval,Olivero,Staff,4/18/1999,1/1/9999
76801,Bernice,Vitiello,Staff,8/20/1995,1/1/9999
76802,Serap,Versino,Engineer,2/2/1989,2/2/1997
76802,Serap,Versino,Senior Engineer,2/2/1997,4/2/2002
76808,Shin,Randt,Senior Engineer,4/7/1998,1/1/9999
76809,Sariel,Zhiwei,Engineer,12/20/1989,12/20/1997
76809,Sariel,Zhiwei,Senior Engineer,12/20/1997,1/1/9999
76811,Ronnie,Kushner,Staff,5/15/1997,1/1/9999
76813,Tua,Pietrzykowski,Engineer,2/26/1991,2/26/2000
76813,Tua,Pietrzykowski,Senior Engineer,2/26/2000,1/1/9999
76816,Aamod,Terlouw,Engineer,3/18/1996,1/1/9999
76820,Mohan,Prochazka,Engineer,7/16/1999,1/1/9999
76822,Rafail,Gniady,Engineer,7/3/1986,7/3/1993
76822,Rafail,Gniady,Senior Engineer,7/3/1993,1/1/9999
76823,Constantino,Wissmann,Engineer,5/23/1995,3/11/1999
76825,Sasan,Zaumen,Engineer,3/25/1986,3/25/1991
76825,Sasan,Zaumen,Senior Engineer,3/25/1991,1/1/9999
76827,Alejandro,Lubachevsky,Engineer,1/4/1989,11/9/1996
76829,Rafols,Puoti,Senior Engineer,11/29/1999,1/1/9999
76831,Anoosh,Schlegelmilch,Assistant Engineer,3/30/1991,3/30/1998
76831,Anoosh,Schlegelmilch,Engineer,3/30/1998,3/17/1999
76833,Guangming,Orsini,Engineer,8/5/1995,1/1/9999
76838,Mariusz,Azulay,Senior Staff,12/7/1987,7/9/1998
76839,Jinpo,Wielonsky,Technique Leader,4/29/1997,1/1/9999
76840,Raimond,Petersohn,Engineer,8/16/1993,8/16/1998
76840,Raimond,Petersohn,Senior Engineer,8/16/1998,1/1/9999
76841,Baziley,Peris,Staff,4/29/1999,6/10/2000
76842,Huican,Byoun,Assistant Engineer,6/14/1995,6/13/2001
